Brand,Category,Original Title,Quality,Lap-Pop Price,Trust-EG Price,Allewaa Price,Minimum Market Price,Suggested Selling Price,Generic Title
Lenovo,Keyboard,G500S Keyboard for Lenovo G500S G505S S500 S510 S510P Original,Original,N/A,N/A,350.0,350.0,332.5,g500s g500s g505s keyboard lenovo original s500 s510 s510p
Lenovo,Keyboard,G560A Keyboard for Lenovo G560 G560A G560L G565 G570 G575 Z560G Z565,Standard/Copy,N/A,N/A,400.0,400.0,380.0,g560 g560a g560a g560l g565 g570 g575 keyboard lenovo z560g z565
Hp,Keyboard,G6-2000 Keyboard for HP Original Quality Replacement Genuine,Original,N/A,N/A,350.0,350.0,332.5,2000 g6 genuine hp keyboard original quality
Msi,Keyboard,GL62M Keyboard for MSI GE62 GE72 GL62 GL62M GL72 GP62 GP72 GS60 GS70,Standard/Copy,N/A,N/A,750.0,750.0,712.5,ge62 ge72 gl62 gl62m gl62m gl72 gp62 gp72 gs60 gs70 keyboard msi
Hp,Keyboard,Hp for Original Quality Replacement Genuine Laptop Keyboard,Original,N/A,N/A,900.0,900.0,855.0,genuine hp keyboard original quality
Hp,Keyboard,HP HP 4530 Keyboard for HP HP 4530 Original Quality Replacement,Original,N/A,N/A,400.0,400.0,380.0,4530 4530 hp hp hp hp keyboard original quality
Hp,Keyboard,HP Keyboard for HP Original Quality Replacement Genuine,Original,N/A,N/A,400.0,400.0,380.0,genuine hp hp keyboard original quality
Generic/Unknown,Keyboard,Keyboard folio1040 g1g2 Laptop Keyboard,Standard/Copy,N/A,N/A,450.0,450.0,427.5,folio1040 g1g2 keyboard keyboard
Generic/Unknown,Keyboard,Keyboard for 745-G3840-G3 with Backlit Laptop Keyboard,Standard/Copy,N/A,N/A,750.0,750.0,712.5,745 backlit g3 g3840 keyboard keyboard
Dell,Keyboard,Keyboard for Dell Latitude 5500 Laptop Keyboard,Standard/Copy,N/A,N/A,800.0,800.0,760.0,5500 dell keyboard keyboard latitude
Dell,Keyboard,Keyboard for Dell Precision 7550 7750 7560 and 7760 Laptop Keyboard,Standard/Copy,N/A,N/A,1400.0,1400.0,1330.0,7550 7560 7750 7760 and dell keyboard keyboard precision
Generic/Unknown,Keyboard,Keyboard for the 640G2 and 440G3 Laptop Keyboard,Standard/Copy,N/A,N/A,375.0,375.0,356.25,440g3 640g2 and keyboard keyboard the
Dell,Keyboard,Keyboard for the Dell Latitude 5400 5410 and 7400 Laptop Keyboard,Standard/Copy,N/A,N/A,800.0,800.0,760.0,5400 5410 7400 and dell keyboard keyboard latitude the
Generic/Unknown,Keyboard,Keyboard for ZBook 15 G5 Workstation Laptop Keyboard,Standard/Copy,N/A,N/A,900.0,900.0,855.0,15 g5 keyboard keyboard workstation zbook
Generic/Unknown,Keyboard,Keyboard Keyboard for Original Quality Replacement Genuine,Original,N/A,N/A,900.0,900.0,855.0,genuine keyboard keyboard original quality
Lenovo,Keyboard,Keyboard LAP LENOVO L340 GAMING BACKLIT BLUE Laptop Keyboard,Standard/Copy,N/A,N/A,800.0,800.0,760.0,backlit blue gaming keyboard keyboard l340 lap lenovo
Generic/Unknown,Keyboard,Keyboard LE Legion 5 Gaming Laptop Keyboard,Standard/Copy,N/A,N/A,900.0,900.0,855.0,5 gaming keyboard keyboard le legion
Lenovo,Keyboard,Keyboard Lenovo 320-15ISK Laptop Keyboard,Standard/Copy,N/A,N/A,450.0,450.0,427.5,15isk 320 keyboard keyboard lenovo
